"Title, Author LN",Publication Date,Source
"A Bride from the Bush, Hornung",1890,Project Gutenberg
"A Bride of the Plains, Orczy",1915,Project Gutenberg
"A Child of the Jago, Morrison",1896,Project Gutenberg
"A Christmas Carol, Dickens",1843,ProQuest
"A Crystal Age, Hudson",1887,Project Gutenberg
"A Dark Night's Work, Gaskell",1863,Project Gutenberg
"A Daughter of Heth, Black",1871,ProQuest
"A Debt Discharged, Wallace",1916,Project Gutenberg
"A Defence of Poetry, Cornwall",1853,ProQuest
"A Defence of Poetry, Shelley",1840,ProQuest
"A Deptford Poet, Arnold",1875,ProQuest
"A Discourse, Delivered To the Students Of the Royal Academy 1780, Reynolds",1781,ProQuest
"A Discourse, Delivered To the Students Of the Royal Academy 1782, Reynolds",1783,ProQuest
"A Discourse, Delivered To the Students Of the Royal Academy 1784, Reynolds",1785,ProQuest
"A Discourse, Delivered To the Students Of the Royal Academy 1786, Reynolds",1786,ProQuest
"A Discourse, Delivered To the Students Of the Royal Academy 1788, Reynolds",1789,ProQuest
"A Discourse, Delivered To the Students of the Royal Academy 1790, Reynolds",1790,ProQuest
"A Dog of Flanders, Ouida",1872,Project Gutenberg
"A Dream of John Ball, Morris",1888,Project Gutenberg
"A Duet, with an Occasional Chorus, Doyle",1899,Project Gutenberg
"A Familiar Preface in, A Personal Record, Conrad",1912,ProQuest
"A Flat Iron for a Farthing, Ewing",1872,Project Gutenberg
"A Full and True Account of the Wonderful Mission of Earl Lavender, Davidson",1895,Internet Archive
"A Gentleman of Leisure, Wodehouse",1910,Project Gutenberg
"A Human Document, Mallock",1892,Internet Archive
"A Humble Remonstrance, Stevenson",1885,ProQuest
"A Lady of Quality, Burnett",1896,Project Gutenberg
"A Laodicean, Hardy",1881,Project Gutenberg
"A Lay-Sermon on the Distresses of the Country, Hazlitt",1819,ProQuest
"A Lecture on The Principle That Poetry is Self-Communion, Elliott",1850,ProQuest
"A Legend of Montrose, Scott",1819,ProQuest
"A Letter To The Rev. Hugh Blair, Beattie",1829,ProQuest
"A Letter to William Gifford, Hazlitt",1819,ProQuest
"A Life's Morning, Gissing",1888,Project Gutenberg
"A Little Princess, Burnett",1905,Project Gutenberg
"A Lodge in the Wilderness, Buchan",1906,Internet Archive
"A Lost Lady of Old Years, Buchan",1899,Project Gutenberg
"A Lost Leader, Oppenheim",1906,Project Gutenberg
"A Maid of the Silver Sea, Oxenham",1910,Project Gutenberg
"A Modern Utopia, Wells",1905,Project Gutenberg
"A Pair of Blue Eyes, Hardy",1873,ProQuest
"A Passionate Pilgrim, and Other Tales, James",1875,ProQuest
"A Peep Behind the Scenes, Walton",1877,Project Gutenberg
"A Prefect's Uncle, Wodehouse",1903,Project Gutenberg
"A Romance of Two Worlds, Corelli",1886,Project Gutenberg
"A Romance of Wastdale, Mason",1895,Project Gutenberg
"A Room with a View, Forster",1908,Project Gutenberg
"A Safety Match, Hay",1911,Project Gutenberg
"A Shabby Genteel Story, Thackeray",1840,ProQuest
"A Sheaf of Bluebells, Orczy",1917,Project Gutenberg
"A Sicilian Romance, Radcliffe",1790,ProQuest
"A Simple Story, Inchbald",1791,ProQuest
"A Son of the People, Orczy",1906,Internet Archive
"A Spirit in Prison, Hichens",1908,Project Gutenberg
"A Study in Scarlet, Doyle",1887,Project Gutenberg
"A Tale of Two Cities, Dickens",1859,ProQuest
"A Terrible Temptation, Read",1871,Project Gutenberg
"A True Woman, Orczy",1911,Internet Archive
"A Voyage to Arcturus, Lindsay",1920,Project Gutenberg
"A Welsh Singer, Raine/Puddicombe",1896,Internet Archive
"A Word to the Public, Lytton",1847,ProQuest
"Across the Zodiac, Greg",1880,Project Gutenberg
"Adam Bede, Eliot",1859,ProQuest
"Adeline Mowbray, Opie",1804,ProQuest
"After London; or, Wild England, Jeffries.txt",1885,ProQuest
"Agincourt. A Romance., Rainsford",1844,Project Gutenberg
"Agnes Grey, Brontë",1847,ProQuest
"Aladore, Newbolt",1914,Internet Archive
"Alec Forbes of Howglen, MacDonald",1865,Project Gutenberg
"Aleriel, or A Voyage to Other Worlds, Lach-Szyrma",1883,Internet Archive
"Alexander Smith And Alexander Pope, Kingsley",1853,ProQuest
"Alf's Button, Darlington",1920,Project Gutenberg
"Alice Lorraine, Blackmore",1875,Project Gutenberg
"Alice's Adventures in Wonderland, Carroll",1865,ProQuest
"All Roads Lead to Calvary, Jerome",1919,Project Gutenberg
"Allan Quatermain, Haggard",1887,Project Gutenberg
"Almayer's Folly, Conrad",1895,Project Gutenberg
"Alton Locke, Kingsley",1850,ProQuest
"An Englishwoman's Love-letters, Housman",1900,Project Gutenberg
"An Enquiry Concerning the Principles Of Taste, and Of the Origin Of Our Ideas Of Beauty, Reynolds.txt",1785,ProQuest
"An Essay On Taste. To Which Is Now Added Part Fourth, Of the Standard Of Taste, Gerard",1780,ProQuest
"An Eye for an Eye, Trollope",1879,Project Gutenberg
"An Imaginative Man, Hichens",1895,Internet Archive
"An Inquiry Into The Alleged Anti-Poetical Tendencies Of The Present Age, Mackay",1850,ProQuest
"An Outcast of the Islands, Conrad",1896,Project Gutenberg
"Animaduersions Uppon the Annotacions and Correctons of some Imperfectons of Impressons of Chaucers Workes, Thynne",1810,ProQuest
"Ann Veronica, Wells",1909,Project Gutenberg
"Anna of the Five Towns, Bennett",1902,Project Gutenberg
"Anna St. Ives, Holcroft",1792,ProQuest
"Annals of the Parish, Galt",1821,ProQuest
"Annals of the Twenty-Ninth Century, Blair",1874,Google Books
"Anne of Geierstein, Scott",1829,Project Gutenberg
"Another Man's Shoes, Bridges",1913,Project Gutenberg
"Antonina, Collins",1850,Project Gutenberg
"Apology for Apparent Plagiarism, Johnson",1817,ProQuest
"Appreciations; with an Essay on Style, Pater",1889,ProQuest
"Ardath, Corelli",1889,Project Gutenberg
"Armadale, Collins",1866,ProQuest
"At the Back of the North Wind, Macdonald",1871,ProQuest
"At the Villa Rose, Mason",1910,Project Gutenberg
"Auriol, AInsworth",1844,Project Gutenberg
"Aurora Floyd, Braddon",1863,Project Gutenberg
"Aurora Leigh, Browning",1856,Project Gutenberg
"Autobiography, Mill",1873,ProQuest
"Ayala's Angel, Trollope",1881,Project Gutenberg
"Ayesha, Haggard",1905,Project Gutenberg
"Baked Meats of the Funeral, Halpine",1866,ProQuest
"Barbary Sheep, Hichens",1907,Internet Archive
"Barchester Towers, Trollope",1857,ProQuest
"Bardelys the Magnificent, Sabatini",1906,Project Gutenberg
"Barnaby Rudge, Dickens",1840,ProQuest
"Basil, Collins",1852,Project Gutenberg
"Bealby, Wells",1915,Project Gutenberg
"Beatrice, Haggard",1890,Project Gutenberg
"Beau Brocade, Orczy",1907,Project Gutenberg
"Beauchamp's Career, Meredith",1875,ProQuest
"Belchamber, Sturgis",1904,Internet Archive
"Belinda, Broughton",1883,ProQuest
"Belinda, Edgeworth",1801,ProQuest
"Bella Donna, Hichens",1909,Project Gutenberg
"Benita, Haggard",1906,Project Gutenberg
"Bevis: The Story of a Boy, Jefferies",1882,ProQuest
"Beyond the City, Doyle",1892,Project Gutenberg
"Beyond the Rocks, Glyn",1906,Project Gutenberg
"Biographia Literaria, Coleridge",1817,ProQuest
"Biographia Literaria, Hazlitt",1817,ProQuest
"Biography Boswell's Life of Johnson, Carlyle",1830,ProQuest
"Bizarro, Scott",1832,JStor
"Black Beauty, Sewell",1877,ProQuest
"Bleak House, Dickens",1853,ProQuest
"Blind Love, Collins",1889,Project Gutenberg
"Bob, son of Battle, or, Owd Bob the grey dog of Kenmuir, Ollivant",1900,Internet Archive
"Books in, The Speaker, Conrad",1905,ProQuest
"Boon, Wells",1915,Project Gutenberg
"Born in Exile, Gissing",1892,Project Gutenberg
"British Novelists and their Styles, Masson",1859,ProQuest
"Brood of the Witch-Queen, Ward",1918,Project Gutenberg
"Bulldog Drummond, Sapper",1920,Project Gutenberg
"Buried Alive, Bennett",1908,Project Gutenberg
"By Proxy, Payn",1878,ProQuest
"Called Back, Conway",1883,Internet Archive
"Callista, Newman",1855,Project Gutenberg
"Camilla, Burney",1796,ProQuest
"Can You Forgive Her?, Trollope",1864,ProQuest
"Captains Courageous, Kipling",1897,Project Gutenberg
"Carnival, Mackenzie",1912,Project Gutenberg
"Cashel Byron's Profession, Shaw",1882,Project Gutenberg
"Castle Dangerous, Scott",1831,Internet Archive
"Castle Rackrent, Edgeworth",1800,ProQuest
"Castle Richmond, Trollope",1860,Project Gutenberg
"Catherine, Thackeray",1839,ProQuest
"Catriona, Stevenson",1893,Project Gutenberg
"Cecilia, or Memoirs of an Heiress, Burney",1782,ProQuest
"Chance, Conrad",1913,Project Gutenberg
"Characters of Shakespear's Plays, Hazlitt",1817,ProQuest
"Characters of Shakespeare's Plays, Jeffrey",1844,ProQuest
"Charles Auchester, Sheppard",1853,Project Gutenberg
"Charlotte Temple, Rowson",1791,Project Gutenberg
"Charlotte: A Tale of Truth Volume 1, Rowson",1794,ProQuest
"Charlotte's Daughter, Rowson",1828,ProQuest
"Cherry Ripe, Mathers",1878,Internet Archive
"Child Christopher and Goldilind the Fair, Morris",1895,Project Gutenberg
"Child of Storm, Haggard",1913,Project Gutenberg
"Childe Harold's Pilgrimage Review, Jeffrey",1844,ProQuest
"Chiristmas Books, Thackeray",1857,Internet Archive
"Christie Johnstone, Reade",1853,Project Gutenberg
"Christina Rossetti, Gosse",1896,ProQuest
"Christowell, Blackmore",1882,Internet Archive
"Chronicles of Barsetshire, Trollope",1855,Project Gutenberg
"Chronicles of the Schonberg-Cotta Family, Charles",1864,ProQuest
"Clara in Blunderland, Lewis",1902,Internet Archive
"Clara Vaughan, Blackmore",1864,Project Gutenberg
"Cleopatra, Haggard",1889,Project Gutenberg
"Cloudesley, Godwin",1830,Internet Archive
"Coelebs in Search of a Wife, More",1809,ProQuest
"Colonel Quaritch, VC, Haggard",1888,Project Gutenberg
"Come Rack! Come Rope!, Benson",1912,Project Gutenberg
"Concerning the Beautiful, Taylor",1787,ProQuest
